Solution,Bluefish-FD-XI-TD,Eman_5.40_fad_12,SugaR.AI.ICCF.1.00,ShashChess15.1,Bluefish-12-W,Crystal-2020-06-29,Bluefish-XI,CorChess v6,Houdidi_6.03_tac_1,Stockfish_2020-07-19, ShashChess 12.1,Stockfish_20121407,Eman 6.61,Stockfish_20062710,SugaR.AI.1.00,Stockfish 11,Honey-XI,Stockfish 10,Crystal 2020-05-02,Black-Diamond-XI,Black-Diamond-XR7,Black-Diamond-XI-r2,Crystal 1.1,Stockfish 9,McCain-v2,Houdidi_6.03_tac_def,Sting-SF-16,Sting-SF-20,Ethereal 12.25,Houdini 1.5 x64,Critter 1.6a 64bit,Stockfish 8,Xiphos 0.6,Ethereal 11.75,Stockfish 7,Bluefish-FD-XI-DC,Lc0 v0.26.3 s1,NumEngSolvedCount,MeanTimeSec
167) Nd5-f6      ,19.0,105.0,17.0,47.0,3.0,166.0,8.0,106.0,164.0,43.0,130.0,98.0,6.0,103.0,217.0,1201.0,53.0,380.0,1374.0,,642.0,48.0,122.0,,987.0,1254.0,37.0,28.0,,256.0,227.0,,12.0,405.0,,0.0,0.0,31,266.0
146) Rd1-d8      ,7.0,613.0,0.0,930.0,387.0,25.0,84.0,249.0,2.0,0.0,257.0,,,,155.0,1676.0,,1248.0,5.0,120.0,19.0,67.0,64.0,,1213.0,43.0,263.0,91.0,326.0,103.0,55.0,168.0,367.0,426.0,182.0,0.0,0.0,31,295.0
 31) Rc8xc7      ,12.0,60.0,135.0,894.0,36.0,107.0,72.0,39.0,1038.0,40.0,293.0,157.0,13.0,1022.0,186.0,690.0,334.0,173.0,131.0,103.0,85.0,240.0,331.0,1752.0,18.0,,116.0,69.0,956.0,365.0,,,695.0,,,0.0,0.0,31,328.0
147) Rd1-d8      ,4.0,203.0,0.0,632.0,610.0,33.0,1750.0,427.0,10.0,5.0,114.0,,,132.0,1526.0,1084.0,346.0,287.0,4.0,41.0,36.0,91.0,16.0,1262.0,,9.0,1581.0,,968.0,508.0,304.0,1124.0,1429.0,,997.0,0.0,0.0,31,501.0
149) Bd3xh7      ,1.0,6.0,45.0,30.0,10.0,194.0,0.0,2.0,40.0,285.0,0.0,9.0,10.0,3.0,9.0,187.0,6.0,27.0,248.0,85.0,14.0,24.0,174.0,52.0,39.0,519.0,,,,,,25.0,7.0,,195.0,0.0,,30,75.0
  5) Qc1-h6      ,32.0,1.0,0.0,2.0,3.0,11.0,1142.0,5.0,0.0,0.0,0.0,7.0,0.0,894.0,27.0,385.0,11.0,,6.0,37.0,21.0,0.0,,,205.0,0.0,0.0,0.0,1273.0,259.0,451.0,,0.0,,,0.0,1.0,30,159.0
 94) b3-b4       ,3.0,3.0,13.0,,,6.0,2.0,1256.0,1.0,,6.0,844.0,,1321.0,,32.0,27.0,416.0,3.0,4.0,1.0,1.0,5.0,,66.0,666.0,0.0,0.0,0.0,21.0,20.0,95.0,0.0,9.0,395.0,0.0,2.0,30,174.0
198) Ne7-d5      ,110.0,7.0,4.0,64.0,716.0,10.0,1410.0,380.0,23.0,13.0,,25.0,,1345.0,,46.0,28.0,32.0,46.0,23.0,15.0,30.0,23.0,50.0,692.0,172.0,,,0.0,247.0,124.0,1587.0,,450.0,259.0,0.0,17.0,30,264.0
152) Rd1xd7      ,85.0,53.0,2.0,12.0,292.0,20.0,255.0,1733.0,42.0,13.0,2.0,754.0,86.0,551.0,298.0,182.0,107.0,438.0,2.0,,,,,218.0,464.0,464.0,194.0,101.0,,743.0,21.0,162.0,,818.0,355.0,8.0,0.0,30,282.0
100) a5-a6       ,150.0,95.0,24.0,12.0,0.0,769.0,68.0,39.0,11.0,1.0,27.0,8.0,4.0,97.0,9.0,420.0,486.0,117.0,1181.0,1085.0,1701.0,55.0,853.0,711.0,,563.0,,,824.0,688.0,,372.0,758.0,,,4.0,0.0,30,371.0
197) .. Qb2-c2   ,58.0,57.0,113.0,47.0,7.0,468.0,40.0,174.0,95.0,25.0,614.0,42.0,35.0,156.0,17.0,495.0,160.0,419.0,253.0,1118.0,675.0,900.0,1408.0,375.0,1506.0,263.0,,,,,,540.0,1758.0,,1181.0,3.0,28.0,30,433.0
